order_id,order_date,order_time,order_status,sales_channel,customer_id,customer_name,customer_age,gender,customer_segment,customer_type,customer_city,customer_state,customer_country,region,customer_postal_code,payment_method,payment_status,currency,shipping_method,warehouse,delivery_days,estimated_delivery_days,delivery_status,return_status,return_reason,customer_rating,review_sentiment,customer_review,marketing_channel,campaign_name,coupon_code,loyalty_points_earned,loyalty_points_redeemed,quantity,gross_sales,discount_amount,tax_amount,shipping_cost,net_sales,product_cost,profit,profit_margin_percentage,customer_lifetime_value,is_repeat_customer,customer_order_count
ORD-235701,2024-03-03,03:11:16,Completed,Mobile App,CUST-009467,Phillip Brown,63,Male,Premium,Loyal,Lake Michellemouth,Gujarat,India,West,70027,Buy Now Pay Later,Paid,INR,Standard,WH-015,3.0,3.0,On Time,,,3.6,Positive,Decent quality for the price.,Referral,Referral_Program,,92,20,7,951.55,182.93,138.35,21.93,928.9,550.49,356.48,38.38,6620.9400000000005,True,8
ORD-871938,2025-07-05,10:47:17,Completed,Website,CUST-004713,Michael Wilson,36,Male,Premium,Loyal,West Robertfurt,Michigan,USA,Central,18340,Credit Card,Paid,USD,Economy,WH-008,14.0,10.0,Delayed,,,3.8,Positive,Good value for money.,Organic Search,Default_Campaign,,59,59,5,693.4,142.76,38.54,3.98,593.16,366.37,222.81,37.56,8322.67,True,6
ORD-411768,2023-09-07,13:04:06,Completed,Website,CUST-003053,Shane Delgado,60,Male,Premium,Loyal,East Kimberlyton,Hesse,Germany,Central,78430,Buy Now Pay Later,Paid,EUR,Express,WH-018,3.0,3.0,On Time,,,3.5,Positive,"Product is okay, nothing special but works.",Facebook Ads,,,46,39,2,448.67,70.10000000000001,71.93,18.5,469.0,234.24,216.26,46.11,11485.0,True,9
ORD-287915,2023-01-23,12:25:34,Completed,Website,CUST-009503,Nathaniel Mccarthy,41,Female,Premium,Loyal,Simmonston,New York,USA,East,22926,Digital Wallet,Pending,USD,Economy,WH-017,9.0,9.0,On Time,,,3.8,Positive,"Product is okay, nothing special but works.",Direct,,,157,115,6,1588.37,131.77,101.96,13.45,1572.0100000000002,756.84,801.72,51.0,8470.51,True,10
ORD-937239,2024-03-04,21:56:54,Returned,Website,CUST-018069,Diane Rivera,64,Female,Premium,Loyal,Lake Edgar,England,UK,North,37738,Cash on Delivery,Refunded,GBP,Express,WH-005,,,Cancelled,Returned,Damaged Product,,,,Direct,,,0,0,9,1480.22,0.0,296.04,39.8,1816.06,811.45,964.81,53.13,8037.860000000001,True,5
ORD-221827,2023-08-11,08:59:51,Completed,Website,CUST-004148,Debra James,30,Female,Consumer,Loyal,Blevinstown,England,UK,North,69848,Bank Transfer,Paid,GBP,Standard,WH-011,6.0,5.0,Delayed,,,3.4,Neutral,Average product. Could be better.,Instagram,Insta_Stories,,57,29,4,514.97,47.0,93.59,8.530000000000001,570.09,215.44,346.12,60.71,4072.92,True,6
ORD-150507,2022-12-16,08:14:44,Completed,Social Media,CUST-017572,Hannah Diaz,32,Male,Consumer,Loyal,West Jerrymouth,California,USA,West,36850,Debit Card,Paid,USD,Standard,WH-010,4.0,4.0,On Time,,,3.4,Neutral,Mixed feelings about this purchase.,Google Ads,,,337,175,12,4441.35,1301.3000000000002,219.81,15.66,3375.5200000000004,2347.19,1012.67,30.0,9491.54,True,7
ORD-356062,2024-06-21,07:36:28,Pending,Website,CUST-005540,Robert Mclean,28,Male,Consumer,Loyal,Jonesview,Alberta,Canada,Central,14979,Bank Transfer,Pending,CAD,Express,WH-012,,,Cancelled,,,,,,Affiliate,Affiliate_Partner,,0,0,2,479.7,23.6,59.29,17.35,532.74,260.52,254.87,47.84,4829.92,True,5
ORD-819765,2024-07-01,22:25:12,Completed,Website,CUST-002137,John Smith,55,Female,Consumer,Loyal,North Leahview,Michigan,USA,Central,70658,Cash on Delivery,Pending,USD,Express,WH-004,0.0,2.0,Early,,,3.9,Positive,Good product. Works as expected.,Organic Search,Default_Campaign,,14,2,4,144.52,25.68,8.32,15.34,142.5,49.92,77.24,54.2,10170.09,True,7
ORD-662495,2023-01-01,03:51:51,Returned,Social Media,CUST-000900,Glenn Peters,29,Male,Consumer,Loyal,Farmerside,Scotland,UK,North,11137,Credit Card,Refunded,GBP,Economy,WH-018,,,Cancelled,Returned,Defective Product,,,,Organic Search,Default_Campaign,SAVE27,0,0,3,567.49,0.0,113.51,13.01,694.01,238.26,442.74,63.79,7229.55,True,8
ORD-559940,2022-05-19,11:43:39,Completed,Social Media,CUST-002881,Lisa Anderson,54,Male,Business,Loyal,Ashleyburgh,Victoria,Australia,South,20280,Digital Wallet,Paid,AUD,Standard,WH-016,4.0,4.0,On Time,,,3.5,Positive,Met my expectations. Would recommend.,Direct,,,8,8,3,87.81,16.77,7.1,8.51,86.65,43.17,34.97,40.36,4084.2,True,5
ORD-171806,2024-12-24,17:07:31,Completed,Website,CUST-012491,Chelsea Ryan,46,Female,Consumer,Loyal,Rioston,North Carolina,USA,South,29416,PayPal,Paid,USD,Standard,WH-008,10.0,6.0,Delayed,,,3.3,Neutral,Average product. Could be better.,Instagram,,SAVE33,127,40,11,1787.2199999999998,619.95,81.7,21.26,1270.23,833.55,415.42,32.7,10894.79,True,9
ORD-917390,2025-01-09,10:40:49,Completed,Website,CUST-021457,Becky Johnson,25,Female,Consumer,Loyal,New Stephaniebury,Western Australia,Australia,West,26846,Debit Card,Paid,AUD,Standard,WH-001,5.0,5.0,On Time,,,3.0,Neutral,Not what I expected but it's okay.,Facebook Ads,FB_Dynamic,,103,61,2,948.2,26.130000000000003,92.21,18.48,1032.76,524.57,489.71,47.42,11550.25,True,6
ORD-536481,2022-06-22,23:38:15,Completed,Website,CUST-004197,Mary Cook,40,Male,Consumer,Returning,South Julie,Michigan,USA,Central,49617,Debit Card,Paid,USD,Standard,WH-013,5.0,5.0,On Time,,,3.6,Positive,Good value for money.,Referral,Friend_Invite,SAVE43,198,49,9,2107.92,309.44,125.89,63.25,1987.62,851.76,1072.61,53.96,9413.87,True,3
ORD-108232,2022-03-11,01:06:27,Completed,Website,CUST-001193,Lisa Dawson,67,Male,Consumer,Loyal,Port Aaronberg,North Rhine,Germany,West,86465,PayPal,Paid,EUR,Economy,WH-011,9.0,9.0,On Time,,,3.7,Positive,Decent quality for the price.,Referral,,,202,194,4,2086.79,393.57,321.72,7.939999999999999,2022.88,1085.58,929.36,45.94,5411.03,True,6
ORD-974604,2022-07-17,06:12:26,Completed,Mobile App,CUST-003555,Sean Mcbride,67,Female,Consumer,Loyal,Youngville,Texas,USA,South,22889,Debit Card,Paid,USD,Same Day,WH-014,2.0,1.0,Delayed,,,4.2,Positive,Satisfied with the purchase.,Affiliate,,SAVE38,43,30,3,400.77,24.49,26.340000000000003,30.25,432.87,146.3,256.32,59.21,12691.44,True,9
ORD-370711,2022-12-07,03:05:52,Completed,Website,CUST-017453,Justin Brown,48,Female,Consumer,Loyal,Port Lisa,Wales,UK,West,92655,PayPal,Paid,GBP,Standard,WH-002,6.0,6.0,On Time,,,4.5,Positive,Absolutely love this product! Exceeded all expectations.,Organic Search,,,148,108,8,1617.69,386.04,246.33,9.79,1487.77,663.26,814.72,54.76,3364.35,True,5
ORD-322623,2022-06-13,15:28:42,Completed,Website,CUST-014070,Jesse Wilson,18,Female,VIP,Loyal,Hessfort,Wales,UK,West,27055,Debit Card,Paid,GBP,Standard,WH-019,5.0,5.0,On Time,,,3.7,Positive,Satisfied with the purchase.,Organic Search,Default_Campaign,,28,8,1,242.24,5.78,47.29,2.22,285.97,106.64,177.11,61.93,17505.420000000002,True,10
ORD-148113,2023-10-05,15:30:30,Completed,Mobile App,CUST-011861,Jacob Short,62,Male,Consumer,Loyal,Lake Lisaland,Texas,USA,South,21854,Bank Transfer,Paid,USD,Standard,WH-002,3.0,3.0,On Time,,,3.5,Positive,Good value for money.,Email Marketing,,,31,31,3,325.75,36.75,20.23,9.3,318.53,160.59,148.64,46.66,3737.26,True,6
ORD-289832,2025-11-24,00:18:25,Completed,Marketplace,CUST-003655,David Krause,20,Male,Business,Loyal,Raymondborough,Pennsylvania,USA,East,78115,Buy Now Pay Later,Paid,USD,Standard,WH-003,3.0,3.0,On Time,,,4.0,Positive,Satisfied with the purchase.,Google Ads,Google_Search_Q1,,266,24,8,3818.78,1340.56,173.47,14.77,2666.46,2088.16,563.53,21.13,13898.23,True,10
ORD-118378,2021-05-10,15:29:59,Completed,Website,CUST-024048,Benjamin Herrera,67,Female,Consumer,Loyal,Taraton,Florida,USA,South,62643,Credit Card,Paid,USD,Same Day,WH-009,1.0,1.0,On Time,,,4.2,Positive,Met my expectations. Would recommend.,Referral,,,95,83,7,1030.86,173.51,60.02,39.75,957.12,450.15,467.22,48.82,6723.66,True,7
ORD-350580,2022-07-25,02:28:32,Completed,Marketplace,CUST-023203,Ronald Sexton,23,Female,Consumer,Loyal,Dicksonside,New York,USA,East,77248,Credit Card,Paid,USD,Express,WH-014,2.0,2.0,On Time,,,3.8,Positive,Good value for money.,Email Marketing,Promo_Email,,152,120,8,1731.08,327.09000000000003,98.28,27.61,1529.88,786.38,715.89,46.79,8358.68,True,6
ORD-696489,2022-01-22,02:42:16,Completed,Website,CUST-013894,Jennifer Kelley,58,Female,Consumer,Loyal,Gonzalesfurt,Illinois,USA,Central,24035,Digital Wallet,Paid,USD,Standard,WH-003,5.0,5.0,On Time,,,3.8,Positive,Decent quality for the price.,YouTube,Default_Campaign,,53,38,4,518.3199999999999,23.69,34.620000000000005,9.87,539.12,243.52,285.73,53.0,7381.870000000001,True,5
ORD-602423,2025-12-25,15:19:05,Pending,Social Media,CUST-008110,Adam Brewer,58,Female,Consumer,Loyal,Lisamouth,Texas,USA,South,97243,PayPal,Pending,USD,Economy,WH-017,,,Cancelled,,,,,,Organic Search,Default_Campaign,,0,0,6,346.35,87.67,18.1,24.14,300.92,143.57,133.20999999999998,44.27,9143.28,True,8
ORD-832815,2021-01-09,15:35:49,Completed,Website,CUST-015097,Sean Kelly,21,Male,Premium,Loyal,Davischester,Karnataka,India,South,9953,Credit Card,Paid,INR,Standard,WH-009,5.0,5.0,On Time,,,3.3,Neutral,Quality could be improved.,YouTube,Default_Campaign,,96,47,5,843.01,23.3,147.55,1.77,969.03,347.72,619.54,63.93,13830.73,True,8
ORD-951623,2021-10-19,15:31:21,Completed,Website,CUST-024995,Michele Stuart,44,Male,Consumer,Loyal,West Curtis,Pennsylvania,USA,East,75784,Debit Card,Paid,USD,Standard,WH-018,3.0,3.0,On Time,,,3.7,Positive,Met my expectations. Would recommend.,Organic Search,,,72,6,11,705.47,59.55,45.22,31.26,722.4,361.91,329.23,45.57,11634.27,True,10
ORD-868383,2025-01-04,02:27:48,Completed,Marketplace,CUST-008002,Keith Barrett,30,Male,Consumer,Loyal,South Trevor,California,USA,West,70045,Debit Card,Paid,USD,Standard,WH-006,7.0,7.0,On Time,,,3.6,Positive,Met my expectations. Would recommend.,Organic Search,,,18,12,2,158.72,9.53,10.44,21.72,181.35,82.57000000000001,77.06,42.49,6587.42,True,7
ORD-714434,2025-11-01,11:43:00,Completed,Mobile App,CUST-016573,Patricia Obrien,23,Female,Premium,Loyal,Peterview,New York,USA,East,22081,Digital Wallet,Paid,USD,Standard,WH-001,6.0,6.0,On Time,,,4.5,Positive,Very happy with the quality and price.,Google Ads,,,45,35,4,495.56,108.33,27.1,35.82000000000001,450.15,237.31,177.01999999999998,39.32,1422.64,True,4
ORD-919833,2022-11-05,02:10:03,Completed,Mobile App,CUST-006514,Kristen Woods,68,Female,Consumer,Returning,Rangelville,California,USA,West,36112,Credit Card,Paid,USD,Standard,WH-011,4.0,4.0,On Time,,,3.6,Positive,Satisfied with the purchase.,Direct,,,9,9,5,120.35,37.16,5.82,5.78,94.79,49.0,40.01,42.21,3275.34,True,2
ORD-560732,2023-07-16,23:40:20,Completed,Mobile App,CUST-000816,Derek Lee,42,Male,Business,Loyal,Lake Taratown,Lower Saxony,Germany,North,27925,Credit Card,Paid,EUR,Economy,WH-005,3.0,5.0,Early,,,3.3,Neutral,Mixed feelings about this purchase.,Email Marketing,Weekly_Newsletter,,14,3,2,143.93,29.99,21.65,7.54,143.13,49.220000000000006,86.37,60.34,9508.72,True,8
ORD-384711,2024-12-02,14:54:31,Completed,Mobile App,CUST-003100,Carla Campbell,44,Male,Consumer,Loyal,Michellechester,Dubai,UAE,South,58384,Buy Now Pay Later,Paid,AED,Express,WH-009,1.0,1.0,On Time,,,2.8,Neutral,Average product. Could be better.,Facebook Ads,FB_Dynamic,SAVE34,153,81,7,1794.79,359.99,71.74,28.19,1534.73,760.24,746.3000000000001,48.63,13851.91,True,9
ORD-481390,2022-05-14,02:15:05,Returned,Mobile App,CUST-015867,Ashley Cisneros,56,Female,Consumer,Loyal,Jeremyburgh,Sharjah,UAE,North,91270,PayPal,Refunded,AED,Economy,WH-012,,,Cancelled,Returned,Product Not as Expected,,,,Email Marketing,Promo_Email,,0,0,3,431.15,0.0,21.55,37.25,489.9500000000001,200.27,252.43,51.52,5014.360000000001,True,4
ORD-853167,2023-09-27,14:51:37,Completed,Website,CUST-020992,Laurie Howell,37,Female,Consumer,Loyal,Davidfurt,Georgia,USA,South,9869,Digital Wallet,Paid,USD,Economy,WH-009,5.0,5.0,On Time,,,3.3,Neutral,Quality could be improved.,Google Ads,,,78,49,6,903.12,197.31,49.41,33.85,789.0699999999999,387.26,367.96,46.63,8251.74,True,7
ORD-611789,2024-11-01,18:48:01,Completed,Mobile App,CUST-004964,Roberto Hernandez,52,Female,Premium,Loyal,East Lisa,England,UK,North,10229,Buy Now Pay Later,Paid,GBP,Express,WH-011,2.0,2.0,On Time,,,4.7,Positive,Great quality and fast shipping. Highly recommend!,Organic Search,,,109,2,13,1373.99,467.62,181.28,11.59,1099.24,495.17,592.48,53.9,11065.75,True,8
ORD-820393,2024-03-13,21:56:02,Cancelled,Website,CUST-013937,Carolyn Armstrong,23,Female,Premium,Loyal,Port Crystal,New York,USA,East,8733,Credit Card,Failed,USD,Same Day,WH-012,,,Cancelled,,,,,,Facebook Ads,,,0,0,3,1422.88,0.0,99.6,24.200000000000003,1546.68,847.29,675.1899999999999,43.65,11569.61,True,9
ORD-409180,2025-08-20,11:20:38,Completed,Website,CUST-005856,Kelly Weaver,45,Male,VIP,Loyal,New Michaelhaven,Wales,UK,West,31690,Bank Transfer,Pending,GBP,Standard,WH-005,4.0,5.0,Early,,,3.9,Positive,Met my expectations. Would recommend.,Organic Search,,SAVE49,57,48,3,488.22,20.08,93.63,13.77,575.54,185.9,375.87,65.31,10436.36,True,9
ORD-752144,2022-01-21,11:35:57,Completed,Website,CUST-024422,John Ferguson,23,Female,Premium,Loyal,Karenstad,Maharashtra,India,West,88045,Credit Card,Paid,INR,Express,WH-019,1.0,1.0,On Time,,,4.3,Positive,"Product is okay, nothing special but works.",Organic Search,Default_Campaign,,337,229,6,3227.05,378.63,512.71,15.04,3376.17,1360.06,2001.07,59.27,12917.93,True,8
ORD-556118,2025-12-03,07:24:36,Completed,Marketplace,CUST-008356,Sandra Turner,64,Female,Consumer,Loyal,East Mark,Tamil Nadu,India,South,84513,Debit Card,Paid,INR,Economy,WH-013,7.0,7.0,On Time,,,3.7,Positive,Good product. Works as expected.,Organic Search,,,66,49,3,809.82,248.73,101.0,2.14,664.23,333.24,328.85,49.51,6555.59,True,6
ORD-702588,2021-06-05,03:02:05,Cancelled,Mobile App,CUST-021388,Tammy Holland,58,Female,Consumer,Loyal,Ortizview,New York,USA,East,77015,Debit Card,Failed,USD,Express,WH-007,,,Cancelled,,,,,,Affiliate,Influencer_Program,,0,0,9,3567.14,0.0,249.7,33.8,3850.64,1843.69,1973.15,51.24,7020.19,True,6
ORD-303537,2025-07-01,23:35:19,Completed,Social Media,CUST-005162,Joseph Navarro,44,Non-Binary,Consumer,Loyal,South Kevinberg,Georgia,USA,South,20560,Debit Card,Paid,USD,Standard,WH-004,6.0,7.0,Early,,,3.3,Neutral,Not what I expected but it's okay.,Organic Search,,SAVE48,65,14,6,762.06,156.63,42.38,9.72,657.53,313.44,334.37,50.85,3468.91,True,7
ORD-842094,2023-10-19,18:34:18,Completed,Social Media,CUST-001972,Amy Ward,64,Male,Consumer,Loyal,Millerview,Pennsylvania,USA,East,18541,Credit Card,Paid,USD,Express,WH-018,3.0,3.0,On Time,,,4.1,Positive,Good value for money.,Instagram,,,184,80,11,1814.26,148.99,116.56,60.33,1842.16,757.66,1024.17,55.6,4312.18,True,6
ORD-975173,2025-08-06,19:17:19,Completed,Mobile App,CUST-015622,Bruce Anderson,27,Female,Consumer,Loyal,South Blake,Illinois,USA,Central,56432,Cash on Delivery,Paid,USD,Standard,WH-009,7.0,5.0,Delayed,,,2.8,Neutral,Product has some issues but it works.,Google Ads,,SAVE31,92,6,5,953.52,112.99,58.84,26.42,925.79,466.78,432.59,46.73,4412.47,True,5
ORD-989089,2024-08-05,13:56:24,Completed,Mobile App,CUST-002882,Brittany Wilson,57,Female,Consumer,Loyal,Sandrachester,Quebec,Canada,East,29122,Buy Now Pay Later,Paid,CAD,Economy,WH-014,10.0,10.0,On Time,,,3.9,Positive,Decent quality for the price.,TikTok,,,15,13,5,159.39,30.27,16.79,12.3,158.21,55.1,90.81,57.4,21183.79,True,13
ORD-259027,2021-07-03,04:18:47,Cancelled,Social Media,CUST-003130,Cassandra Potter,29,Male,Consumer,Loyal,West Jonathan,Wales,UK,West,23054,Credit Card,Failed,GBP,Express,WH-007,,,Cancelled,,,,,,Direct,Default_Campaign,SAVE17,0,0,9,3959.12,0.0,791.8299999999999,22.07,4773.02,2259.06,2491.8900000000003,52.21,14657.4,True,9
ORD-258283,2023-02-23,06:50:05,Completed,Social Media,CUST-017446,Rebecca Marshall,19,Female,Consumer,Loyal,Lewismouth,California,USA,West,88007,Debit Card,Paid,USD,Standard,WH-005,6.0,6.0,On Time,,,3.5,Positive,Decent quality for the price.,Facebook Ads,FB_Prospecting,,177,21,6,1834.6,194.55,114.8,23.83,1778.6800000000003,967.22,787.63,44.28,5067.2300000000005,True,4
ORD-685419,2023-02-19,06:02:48,Completed,Marketplace,CUST-015618,Howard Norton,36,Male,Consumer,Loyal,Ashleytown,Pennsylvania,USA,East,53469,Cash on Delivery,Paid,USD,Standard,WH-013,5.0,7.0,Early,,,4.5,Positive,Best purchase I've made this year!,Google Ads,,,169,70,11,1659.2399999999998,107.31,108.63,36.85,1697.41,800.4,860.1600000000001,50.67,8675.24,True,7
ORD-238599,2021-06-20,17:25:48,Completed,Marketplace,CUST-022181,Mikayla Martinez,72,Female,Consumer,Loyal,Shannonmouth,Texas,USA,South,22661,Debit Card,Paid,USD,Express,WH-010,0.0,1.0,Early,,,3.3,Neutral,Average product. Could be better.,Google Ads,,,95,39,3,1030.01,174.52,59.88,44.48,959.85,686.65,228.72,23.83,6938.06,True,7
ORD-975077,2024-11-11,11:31:10,Cancelled,Marketplace,CUST-002168,Sarah Collins,27,Male,Premium,Loyal,Davismouth,New York,USA,East,35765,Debit Card,Failed,USD,Economy,WH-013,,,Cancelled,,,,,,Referral,,SAVE27,0,0,9,1679.39,0.0,117.56,7.049999999999999,1804.0,731.6700000000001,1065.28,59.05,9378.15,True,9
ORD-611022,2021-10-27,21:09:11,Completed,Marketplace,CUST-020500,Ronald Griffin,52,Male,Premium,Loyal,West Alexandraberg,Illinois,USA,Central,71477,Credit Card,Pending,USD,Express,WH-018,1.0,1.0,On Time,,,4.1,Positive,Satisfied with the purchase.,Direct,Default_Campaign,,460,233,14,4630.370000000001,366.81,298.45000000000005,39.02,4601.03,2231.34,2330.67,50.66,6896.06,True,4
ORD-379269,2021-08-16,09:00:33,Completed,Mobile App,CUST-000658,Shane Cantrell,48,Female,Consumer,Loyal,Davidtown,Sharjah,UAE,North,53527,Debit Card,Paid,AED,Standard,WH-010,7.0,7.0,On Time,,,3.8,Positive,Met my expectations. Would recommend.,Organic Search,,,45,29,2,491.48,77.53,20.69,15.43,450.0700000000001,242.85,191.79,42.61,4882.959999999999,True,5
ORD-875863,2023-10-21,16:58:05,Completed,Website,CUST-015902,Tammy Heath,32,Female,Premium,Loyal,Moralesview,Baden-Württemberg,Germany,South,964,Credit Card,Paid,EUR,Standard,WH-016,6.0,6.0,On Time,,,3.5,Positive,Decent quality for the price.,Google Ads,,,92,89,8,881.01,109.14,146.65,4.63,923.15,402.27,516.25,55.92,16195.67,True,12
ORD-724920,2023-12-05,22:13:18,Completed,Marketplace,CUST-004213,Abigail Chambers,53,Male,Consumer,Loyal,New Kimberly,Ohio,USA,Central,44586,PayPal,Paid,USD,Standard,WH-005,3.0,3.0,On Time,,,3.8,Positive,Good value for money.,Organic Search,Default_Campaign,,5,3,2,58.48,11.69,3.28,6.02,56.09,27.16,22.91,40.85,9439.85,True,5
ORD-437350,2021-12-20,19:03:19,Returned,Mobile App,CUST-005596,Shannon Rodriguez,46,Female,Consumer,Loyal,East Valeriestad,Florida,USA,South,79072,Credit Card,Refunded,USD,Express,WH-002,,,Cancelled,Returned,Product Not as Expected,,,,Email Marketing,,,0,0,7,3533.77,0.0,247.37,25.45,3806.59,1832.24,1948.9,51.2,13021.61,True,8
ORD-644465,2023-02-28,12:27:32,Completed,Mobile App,CUST-004424,Timothy Moore,70,Female,Consumer,Loyal,Mooretown,Wales,UK,West,95397,Credit Card,Paid,GBP,Economy,WH-007,7.0,7.0,On Time,,,3.6,Positive,Met my expectations. Would recommend.,Referral,,SAVE46,17,1,4,155.0,19.36,27.13,15.61,178.38,78.32,84.45,47.34,12561.61,True,7
ORD-158799,2023-05-17,10:06:08,Completed,Social Media,CUST-016604,John Anderson,69,Female,Premium,Loyal,North Laurie,Pennsylvania,USA,East,20064,Credit Card,Paid,USD,Standard,WH-006,8.0,4.0,Delayed,,,4.0,Positive,Good product. Works as expected.,Email Marketing,Promo_Email,,366,104,11,3763.93,374.93,237.23,36.05,3662.28,2018.9,1607.33,43.89,5485.18,True,4
ORD-746273,2023-03-27,05:35:53,Completed,Mobile App,CUST-005912,Jason Smith,31,Female,Premium,Loyal,Burnsfort,Scotland,UK,North,15019,Credit Card,Paid,GBP,Express,WH-011,1.0,1.0,On Time,,,4.2,Positive,Met my expectations. Would recommend.,Organic Search,,,122,52,3,1074.64,71.99,200.53,20.58,1223.76,627.52,575.66,47.04,6786.23,True,5
ORD-933678,2025-10-06,23:08:46,Completed,Social Media,CUST-012337,Steven Murphy,38,Male,Premium,Loyal,Grayfort,California,USA,West,13765,Credit Card,Paid,USD,Economy,WH-011,7.0,7.0,On Time,,,3.3,Neutral,Product has some issues but it works.,Referral,,,465,67,8,4968.219999999999,639.8299999999999,302.98,22.69,4654.06,2616.86,2014.51,43.29,16888.58,True,10
ORD-840890,2021-04-08,08:35:00,Completed,Website,CUST-022753,Thomas Torres,43,Female,Consumer,Loyal,New Helen,New York,USA,East,97802,Credit Card,Pending,USD,Economy,WH-001,7.0,7.0,On Time,,,2.6,Neutral,Not what I expected but it's okay.,Direct,,,79,62,2,868.24,143.57,50.72,19.43,794.8199999999999,410.29,365.1,45.93,14632.52,True,15
